Kolumna,Unikalne wartości,Brakujące wartości,Proporcja klas
lw,138,0,"lw
60      0.040179
62      0.040127
64      0.040023
61      0.039971
63      0.039711
          ...   
58-1    0.000052
58-2    0.000052
60-3    0.000052
56-1    0.000052
52-1    0.000052
Name: proportion, Length: 138, dtype: float64"
lf,132,0,"lf
63      0.042778
60      0.040803
61      0.039919
62      0.038308
64      0.036800
          ...   
59-2    0.000052
60-3    0.000052
56-1    0.000052
15      0.000052
52-1    0.000052
Name: proportion, Length: 132, dtype: float64"
cf,132,0,"cf
63      0.042778
60      0.040803
61      0.039919
62      0.038308
64      0.036800
          ...   
59-2    0.000052
60-3    0.000052
56-1    0.000052
15      0.000052
52-1    0.000052
Name: proportion, Length: 132, dtype: float64"
rf,132,0,"rf
63      0.042778
60      0.040803
61      0.039919
62      0.038308
64      0.036800
          ...   
59-2    0.000052
60-3    0.000052
56-1    0.000052
15      0.000052
52-1    0.000052
Name: proportion, Length: 132, dtype: float64"
rw,138,0,"rw
60      0.040179
62      0.040127
64      0.040023
61      0.039971
63      0.039711
          ...   
58-1    0.000052
58-2    0.000052
60-3    0.000052
56-1    0.000052
52-1    0.000052
Name: proportion, Length: 138, dtype: float64"
lam,252,0,"lam
62+2    0.041166
61+2    0.038464
63+2    0.037268
60+2    0.037164
59+2    0.035917
          ...   
54      0.000052
53+1    0.000052
55-1    0.000052
51      0.000052
48+1    0.000052
Name: proportion, Length: 252, dtype: float64"
cam,252,0,"cam
62+2    0.041166
61+2    0.038464
63+2    0.037268
60+2    0.037164
59+2    0.035917
          ...   
54      0.000052
53+1    0.000052
55-1    0.000052
51      0.000052
48+1    0.000052
Name: proportion, Length: 252, dtype: float64"
ram,252,0,"ram
62+2    0.041166
61+2    0.038464
63+2    0.037268
60+2    0.037164
59+2    0.035917
          ...   
54      0.000052
53+1    0.000052
55-1    0.000052
51      0.000052
48+1    0.000052
Name: proportion, Length: 252, dtype: float64"
lm,235,0,"lm
61+2    0.040335
62+2    0.038723
59+2    0.038412
60+2    0.036956
63+2    0.036644
          ...   
58-2    0.000052
57-1    0.000052
55      0.000052
15+2    0.000052
49+1    0.000052
Name: proportion, Length: 235, dtype: float64"
lcm,212,0,"lcm
58+2    0.041738
59+2    0.040543
61+2    0.040543
60+2    0.039815
56+2    0.037476
          ...   
59-2    0.000052
55      0.000052
54+1    0.000052
53      0.000052
49      0.000052
Name: proportion, Length: 212, dtype: float64"
cm,212,0,"cm
58+2    0.041738
59+2    0.040543
61+2    0.040543
60+2    0.039815
56+2    0.037476
          ...   
59-2    0.000052
55      0.000052
54+1    0.000052
53      0.000052
49      0.000052
Name: proportion, Length: 212, dtype: float64"
rcm,212,0,"rcm
58+2    0.041738
59+2    0.040543
61+2    0.040543
60+2    0.039815
56+2    0.037476
          ...   
59-2    0.000052
55      0.000052
54+1    0.000052
53      0.000052
49      0.000052
Name: proportion, Length: 212, dtype: float64"
rm,235,0,"rm
61+2    0.040335
62+2    0.038723
59+2    0.038412
60+2    0.036956
63+2    0.036644
          ...   
58-2    0.000052
57-1    0.000052
55      0.000052
15+2    0.000052
49+1    0.000052
Name: proportion, Length: 235, dtype: float64"
lwb,196,0,"lwb
61+2    0.038983
58+2    0.038464
59+2    0.038308
60+2    0.037424
57+2    0.037112
          ...   
56      0.000052
57-2    0.000052
55-1    0.000052
53      0.000052
49+1    0.000052
Name: proportion, Length: 196, dtype: float64"
ldm,239,0,"ldm
61+2    0.035241
60+2    0.034253
59+2    0.033422
63+2    0.031447
58+2    0.030771
          ...   
54-1    0.000052
52+1    0.000052
50+1    0.000052
50      0.000052
50-1    0.000052
Name: proportion, Length: 239, dtype: float64"
cdm,239,0,"cdm
61+2    0.035241
60+2    0.034253
59+2    0.033422
63+2    0.031447
58+2    0.030771
          ...   
54-1    0.000052
52+1    0.000052
50+1    0.000052
50      0.000052
50-1    0.000052
Name: proportion, Length: 239, dtype: float64"
rdm,239,0,"rdm
61+2    0.035241
60+2    0.034253
59+2    0.033422
63+2    0.031447
58+2    0.030771
          ...   
54-1    0.000052
52+1    0.000052
50+1    0.000052
50      0.000052
50-1    0.000052
Name: proportion, Length: 239, dtype: float64"
rwb,196,0,"rwb
61+2    0.038983
58+2    0.038464
59+2    0.038308
60+2    0.037424
57+2    0.037112
          ...   
56      0.000052
57-2    0.000052
55-1    0.000052
53      0.000052
49+1    0.000052
Name: proportion, Length: 196, dtype: float64"
lb,193,0,"lb
62+2    0.039867
61+2    0.039243
60+2    0.038931
63+2    0.036177
64+2    0.034305
          ...   
55-1    0.000052
53      0.000052
14+2    0.000052
50+1    0.000052
49+1    0.000052
Name: proportion, Length: 193, dtype: float64"
lcb,259,0,"lcb
64+2    0.028068
62+2    0.027600
61+2    0.027548
60+2    0.026924
58+2    0.026561
          ...   
59-2    0.000052
59-1    0.000052
51      0.000052
50      0.000052
50-1    0.000052
Name: proportion, Length: 259, dtype: float64"
cb,259,0,"cb
64+2    0.028068
62+2    0.027600
61+2    0.027548
60+2    0.026924
58+2    0.026561
          ...   
59-2    0.000052
59-1    0.000052
51      0.000052
50      0.000052
50-1    0.000052
Name: proportion, Length: 259, dtype: float64"
rcb,259,0,"rcb
64+2    0.028068
62+2    0.027600
61+2    0.027548
60+2    0.026924
58+2    0.026561
          ...   
59-2    0.000052
59-1    0.000052
51      0.000052
50      0.000052
50-1    0.000052
Name: proportion, Length: 259, dtype: float64"
rb,193,0,"rb
62+2    0.039867
61+2    0.039243
60+2    0.038931
63+2    0.036177
64+2    0.034305
          ...   
55-1    0.000052
53      0.000052
14+2    0.000052
50+1    0.000052
49+1    0.000052
Name: proportion, Length: 193, dtype: float64"
gk,115,0,"gk
16+2    0.200166
15+2    0.169136
17+2    0.165185
14+2    0.107022
18+2    0.104735
          ...   
26+2    0.000052
9+3     0.000052
53+1    0.000052
25+2    0.000052
50+1    0.000052
Name: proportion, Length: 115, dtype: float64"
player_face_url,19239,0,"player_face_url
https://cdn.sofifa.net/players/264/540/22_120.png    0.000052
https://cdn.sofifa.net/players/158/023/22_120.png    0.000052
https://cdn.sofifa.net/players/188/545/22_120.png    0.000052
https://cdn.sofifa.net/players/020/801/22_120.png    0.000052
https://cdn.sofifa.net/players/190/871/22_120.png    0.000052
                                                       ...   
https://cdn.sofifa.net/players/165/153/22_120.png    0.000052
https://cdn.sofifa.net/players/215/914/22_120.png    0.000052
https://cdn.sofifa.net/players/202/126/22_120.png    0.000052
https://cdn.sofifa.net/players/192/448/22_120.png    0.000052
https://cdn.sofifa.net/players/167/495/22_120.png    0.000052
Name: proportion, Length: 19239, dtype: float64"
club_logo_url,701,61,"club_logo_url
https://cdn.sofifa.net/teams/449/60.png       0.001721
https://cdn.sofifa.net/teams/7/60.png         0.001721
https://cdn.sofifa.net/teams/23/60.png        0.001721
https://cdn.sofifa.net/teams/1/60.png         0.001721
https://cdn.sofifa.net/teams/450/60.png       0.001721
                                                ...   
https://cdn.sofifa.net/teams/1035/60.png      0.001043
https://cdn.sofifa.net/teams/112476/60.png    0.001043
https://cdn.sofifa.net/teams/101099/60.png    0.001043
https://cdn.sofifa.net/teams/112222/60.png    0.000991
https://cdn.sofifa.net/teams/111766/60.png    0.000991
Name: proportion, Length: 701, dtype: float64"
club_flag_url,49,61,"club_flag_url
https://cdn.sofifa.net/flags/gb-eng.png    0.135989
https://cdn.sofifa.net/flags/de.png        0.083585
https://cdn.sofifa.net/flags/es.png        0.065596
https://cdn.sofifa.net/flags/fr.png        0.057670
https://cdn.sofifa.net/flags/us.png        0.038638
https://cdn.sofifa.net/flags/ar.png        0.037908
https://cdn.sofifa.net/flags/it.png        0.036239
https://cdn.sofifa.net/flags/jp.png        0.030712
https://cdn.sofifa.net/flags/tr.png        0.028314
https://cdn.sofifa.net/flags/pt.png        0.026332
https://cdn.sofifa.net/flags/pl.png        0.025863
https://cdn.sofifa.net/flags/nl.png        0.025654
https://cdn.sofifa.net/flags/mx.png        0.025446
https://cdn.sofifa.net/flags/be.png        0.025446
https://cdn.sofifa.net/flags/sa.png        0.024403
https://cdn.sofifa.net/flags/cn.png        0.023256
https://cdn.sofifa.net/flags/ro.png        0.023047
https://cdn.sofifa.net/flags/no.png        0.020909
https://cdn.sofifa.net/flags/se.png        0.020492
https://cdn.sofifa.net/flags/br.png        0.018772
https://cdn.sofifa.net/flags/kr.png        0.017520
https://cdn.sofifa.net/flags/at.png        0.017207
https://cdn.sofifa.net/flags/gb-sct.png    0.016686
https://cdn.sofifa.net/flags/dk.png        0.016581
https://cdn.sofifa.net/flags/in.png        0.014548
https://cdn.sofifa.net/flags/ch.png        0.014079
https://cdn.sofifa.net/flags/au.png        0.013453
https://cdn.sofifa.net/flags/ie.png        0.013453
https://cdn.sofifa.net/flags/co.png        0.009959
https://cdn.sofifa.net/flags/bo.png        0.009751
https://cdn.sofifa.net/flags/py.png        0.009073
https://cdn.sofifa.net/flags/ec.png        0.008916
https://cdn.sofifa.net/flags/pe.png        0.008499
https://cdn.sofifa.net/flags/ve.png        0.008395
https://cdn.sofifa.net/flags/cl.png        0.008082
https://cdn.sofifa.net/flags/uy.png        0.006883
https://cdn.sofifa.net/flags/gr.png        0.005840
https://cdn.sofifa.net/flags/ru.png        0.004276
https://cdn.sofifa.net/flags/cz.png        0.004119
https://cdn.sofifa.net/flags/ua.png        0.002920
https://cdn.sofifa.net/flags/hr.png        0.002920
https://cdn.sofifa.net/flags/za.png        0.002920
https://cdn.sofifa.net/flags/ca.png        0.001564
https://cdn.sofifa.net/flags/ae.png        0.001460
https://cdn.sofifa.net/flags/hu.png        0.001460
https://cdn.sofifa.net/flags/cy.png        0.001460
https://cdn.sofifa.net/flags/gb-wls.png    0.001408
https://cdn.sofifa.net/flags/fi.png        0.001304
https://cdn.sofifa.net/flags/nz.png        0.000991
Name: proportion, dtype: float64"
nation_logo_url,33,18480,"nation_logo_url
https://cdn.sofifa.net/teams/1369/60.png      0.030303
https://cdn.sofifa.net/teams/1353/60.png      0.030303
https://cdn.sofifa.net/teams/1354/60.png      0.030303
https://cdn.sofifa.net/teams/1325/60.png      0.030303
https://cdn.sofifa.net/teams/1335/60.png      0.030303
https://cdn.sofifa.net/teams/1337/60.png      0.030303
https://cdn.sofifa.net/teams/1318/60.png      0.030303
https://cdn.sofifa.net/teams/105035/60.png    0.030303
https://cdn.sofifa.net/teams/1343/60.png      0.030303
https://cdn.sofifa.net/teams/1362/60.png      0.030303
https://cdn.sofifa.net/teams/1352/60.png      0.030303
https://cdn.sofifa.net/teams/1359/60.png      0.030303
https://cdn.sofifa.net/teams/1331/60.png      0.030303
https://cdn.sofifa.net/teams/1886/60.png      0.030303
https://cdn.sofifa.net/teams/1363/60.png      0.030303
https://cdn.sofifa.net/teams/1322/60.png      0.030303
https://cdn.sofifa.net/teams/1334/60.png      0.030303
https://cdn.sofifa.net/teams/1386/60.png      0.030303
https://cdn.sofifa.net/teams/1370/60.png      0.030303
https://cdn.sofifa.net/teams/1367/60.png      0.030303
https://cdn.sofifa.net/teams/1387/60.png      0.030303
https://cdn.sofifa.net/teams/111455/60.png    0.030303
https://cdn.sofifa.net/teams/1330/60.png      0.030303
https://cdn.sofifa.net/teams/1366/60.png      0.030303
https://cdn.sofifa.net/teams/1338/60.png      0.030303
https://cdn.sofifa.net/teams/110081/60.png    0.030303
https://cdn.sofifa.net/teams/1341/60.png      0.030303
https://cdn.sofifa.net/teams/111473/60.png    0.030303
https://cdn.sofifa.net/teams/1413/60.png      0.030303
https://cdn.sofifa.net/teams/1357/60.png      0.030303
https://cdn.sofifa.net/teams/1355/60.png      0.030303
https://cdn.sofifa.net/teams/1356/60.png      0.030303
https://cdn.sofifa.net/teams/1415/60.png      0.030303
Name: proportion, dtype: float64"
nation_flag_url,163,0,"nation_flag_url
https://cdn.sofifa.net/flags/gb-eng.png    0.089350
https://cdn.sofifa.net/flags/de.png        0.063101
https://cdn.sofifa.net/flags/es.png        0.056448
https://cdn.sofifa.net/flags/fr.png        0.050938
https://cdn.sofifa.net/flags/ar.png        0.049899
                                             ...   
https://cdn.sofifa.net/flags/bt.png        0.000052
https://cdn.sofifa.net/flags/gi.png        0.000052
https://cdn.sofifa.net/flags/bb.png        0.000052
https://cdn.sofifa.net/flags/ee.png        0.000052
https://cdn.sofifa.net/flags/id.png        0.000052
Name: proportion, Length: 163, dtype: float64"
